Dataset,Target,Model,Feature,Permutation_Importance_R2,Importance_SD
Synthetic_Pilot,PI,Ridge,TR,0.015686847115147784,0.0040022222936605175
Synthetic_Pilot,PI,Ridge,EX,0.006486627351396312,0.0027227134053831622
Synthetic_Pilot,PI,Ridge,AT,0.0005852659316885722,0.0005464010137983494
Synthetic_Pilot,PI,Ridge,PSI,0.6680729353054591,0.037541931524428716
Synthetic_Pilot,PI,Ridge,PIF,0.09984989601419132,0.006868791698319412
Synthetic_Pilot,PI,RandomForest,TR,0.024504047802621432,0.007741319885728609
Synthetic_Pilot,PI,RandomForest,EX,0.024161887733850883,0.005230615387494055
Synthetic_Pilot,PI,RandomForest,AT,-0.0030268258314944283,0.002915117239053537
Synthetic_Pilot,PI,RandomForest,PSI,0.712562064091316,0.04707945060486104
Synthetic_Pilot,PI,RandomForest,PIF,0.08406699146571658,0.009203461266799612
Synthetic_Pilot,PI,ExtraTrees,TR,0.019672245411604238,0.007818399627170508
Synthetic_Pilot,PI,ExtraTrees,EX,0.007030403938354746,0.009958418430856998
Synthetic_Pilot,PI,ExtraTrees,AT,0.0007593584664877584,0.00211530355298967
Synthetic_Pilot,PI,ExtraTrees,PSI,0.7167943928960734,0.04179024467307831
Synthetic_Pilot,PI,ExtraTrees,PIF,0.10291276065899209,0.012659590063601048
Synthetic_Pilot,PI,GradientBoosting,TR,0.010761789897047902,0.005918838214398038
Synthetic_Pilot,PI,GradientBoosting,EX,0.037543909916712526,0.012007171867442197
Synthetic_Pilot,PI,GradientBoosting,AT,0.013725681477715223,0.007710639259099873
Synthetic_Pilot,PI,GradientBoosting,PSI,0.7318051447715535,0.0407028412145646
Synthetic_Pilot,PI,GradientBoosting,PIF,0.10363822734491956,0.016710304372306493
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,Homophily,0.044376814981254745,0.009055807833902401
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,Popularity,-0.0024837523026154827,0.0022699061199331692
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,Leverage,0.039097316721010064,0.0159372322830244
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,Fashionability,0.014596298491730053,0.016039599837242412
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,Affability,0.04052900617329709,0.007377015399679841
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,PSI,0.1358451148098596,0.02754206851071442
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,WOM,0.40793099892235507,0.051047930596306294
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,Homophily,0.029093497852156112,0.022395738125076836
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,Popularity,0.04384023689417602,0.008802683474825572
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,Leverage,0.01786386486383984,0.013864159855423762
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,Fashionability,-0.0031217691438619522,0.012151035944499592
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,Affability,0.006309512866941503,0.01510150609531821
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,PSI,0.12317484452081418,0.03864659308557317
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,WOM,0.6738562878312135,0.08360218981754099
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,Homophily,0.06181316689071588,0.02004030802830324
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,Popularity,0.04256638658201106,0.009161148584746263
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,Leverage,0.03600605980170202,0.01997348987338504
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,Fashionability,0.012864281843418724,0.017641873134569552
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,Affability,0.019703134710691517,0.02090793759444827
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,PSI,0.1475374630082068,0.05263084926206983
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,WOM,0.6463388317753351,0.0945356680670277
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,Homophily,0.02591055501578632,0.010618695417334656
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,Popularity,0.047765768701310864,0.01681677743850526
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,Leverage,0.030779078493315137,0.005279408082140104
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,Fashionability,0.06212277934417776,0.03632484431656285
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,Affability,0.05616724605063985,0.01240380069844801
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,PSI,0.17185214046501007,0.03686892380385388
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,WOM,0.5075647159148429,0.05936104678555612
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,Convenience,0.0550695118145287,0.011638772003781522
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,Interactivity,0.18567323644027475,0.05950897176991759
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,Attractiveness,0.07774334810858226,0.03638987994901998
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,Expertise,-0.0036526038913535118,0.008320074961162258
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,Trustworthiness,0.09808294537675089,0.038827280837759416
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,Attitude_SMI,0.009752654484027689,0.012434251587415039
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,Attitude_Product,-0.0003534113556350915,0.016037617015644226
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,Convenience,-0.16180497918353248,0.06514479515129212
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,Interactivity,0.011740858457620629,0.09752422782843471
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,Attractiveness,-0.022205462077353653,0.03984842240462764
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,Expertise,-0.04850787465758257,0.07953181904081143
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,Trustworthiness,-0.04870212167587122,0.05835174688133074
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,Attitude_SMI,-0.0922775188197817,0.06567579250423933
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,Attitude_Product,-0.041971964948646925,0.010681059785586164
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,Convenience,-0.17367614511986296,0.06607531027507352
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,Interactivity,-0.06865681720890397,0.08165333092522717
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,Attractiveness,0.03050532962328769,0.052374317166728225
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,Expertise,-0.0980350385273971,0.06431732393445808
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,Trustworthiness,-0.03201329195205464,0.0616585673981222
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,Attitude_SMI,-0.06316503638698627,0.06448494784416801
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,Attitude_Product,0.0030854666095891936,0.015728029484564903
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,Convenience,-0.274609742570088,0.06522199132239388
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,Interactivity,0.026094597205065552,0.06571181964977114
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,Attractiveness,0.08699959727524406,0.02699728471784309
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,Expertise,-0.07851396564386284,0.02464146471933538
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,Trustworthiness,0.01984547218427508,0.04485832197990779
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,Attitude_SMI,-0.05082862942789386,0.05101894261523034
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,Attitude_Product,-0.03130897877311103,0.03479560302151251
